"","lon","lat","dp1","dp2","dp3","dp4","dp5"
"1",-133.95,47.95,2207828.45868341,1562905.27294984,1385486.53111925,906667.428993613,750377.003630404
"2",-133.85,47.95,2202474.17015138,1557818.74915257,1380353.29183462,900239.091832801,742938.721594747
"3",-133.75,47.95,2197138.51142563,1552758.23921727,1375248.20410574,893831.82788997,735501.981604587
"4",-133.65,47.95,2191821.6256931,1547724.00552414,1370171.59003715,887446.103783543,728066.843471019
"5",-133.55,47.95,2186523.6570079,1542716.31248213,1365123.77468607,881082.397993436,720633.369331101
"6",-133.45,47.95,2181244.75028944,1537735.42651675,1360105.08604907,874741.201174872,713201.623767703
"7",-133.35,47.95,2175985.05132041,1532781.61605672,1355115.85504678,868423.016478694,705771.673936792
"8",-133.25,47.95,2170744.70674436,1527855.15151926,1350156.41550641,862128.35987805,698343.589702674
"9",-133.15,47.95,2165523.8640632,1522956.30529417,1345227.1041422,855857.760501401,690917.443781803
"10",-133.05,47.95,2160322.67163434,1518085.35172657,1340328.26053355,849611.760971647,683493.311895768
"11",-132.95,47.95,2155141.27866761,1513242.56709818,1335460.22710093,843390.917751255,676071.272934157
"12",-132.85,47.95,2149979.83522191,1508428.22960735,1330623.34907929,837195.801493137,668651.409128046
"13",-132.75,47.95,2144838.49220159,1503642.61934751,1325817.97448912,831026.99739705,661233.806234893
"14",-132.65,47.95,2139717.40135255,1498886.01828427,1321044.45410491,824885.105571243,653818.553735765
"15",-132.55,47.95,2134616.71525804,1494158.71023087,1316303.14142103,818770.741399001,646405.745045818
"16",-132.45,47.95,2129536.58733422,1489460.98082224,1311594.3926149,812684.535909695,638995.477739086
"17",-132.35,47.95,2124477.17182538,1484793.11748732,1306918.56650745,806627.136153951,631587.853788728
"18",-132.25,47.95,2119438.62379889,1480155.40941988,1302276.02452066,800599.205582374,624182.979823936
"19",-132.15,47.95,2114421.09913978,1475548.14754763,1297667.1306323,794601.42442733,616780.967404912
"20",-132.05,47.95,2109424.7545451,1470971.62449965,1293092.25132759,788634.490087142,609381.933317347
"21",-131.95,47.95,2104449.7475179,1466426.13457204,1288551.75554786,782699.117512009,601985.999888049
"22",-131.85,47.95,2099496.23636089,1461911.97369197,1284046.01463606,776796.039590871,594593.295323483
"23",-131.75,47.95,2094564.3801698,1457429.43937971,1279575.40227902,770926.007538374,587203.954073156
"24",-131.65,47.95,2089654.33882634,1452978.83070898,1275140.29444658,765089.791280998,579818.117219998
"25",-131.55,47.95,2084766.27299088,1448560.44826545,1270741.06932718,759288.179841298,572435.932900066
"26",-131.45,47.95,2079900.34409476,1444174.59410323,1266378.10726018,753521.981719128,565057.556754131
"27",-131.35,47.95,2075056.71433222,1439821.57169953,1262051.79066465,747792.025268609,557683.152414016
"28",-131.25,47.95,2070235.54665197,1435501.68590731,1257762.50396462,742099.159069476,550312.892026732
"29",-131.15,47.95,2065437.00474847,1431215.24290602,1253510.63351074,736444.252291332,542946.956819917
"30",-131.05,47.95,2060661.25305268,1426962.55015019,1249296.5674982,730828.195049207,535585.53771232
"31",-130.95,47.95,2055908.45672259,1422743.91631612,1245120.69588108,725251.898748685,528228.83597353
"32",-130.85,47.95,2051178.78163325,1418559.65124642,1240983.41028273,719716.296418729,520877.063937582
"33",-130.75,47.95,2046472.39436647,1414410.06589245,1236885.10390247,714222.343030164,513530.445775544
"34",-130.65,47.95,2041789.4622001,1410295.4722547,1232826.17141835,708771.015797681,506189.218332794
"35",-130.55,47.95,2037130.15309687,1406216.18332099,1228807.00888599,703363.314463004,498853.63203726
"36",-130.45,47.95,2032494.63569291,1402172.51300249,1224828.01363345,698000.261556725,491523.951885632
"37",-130.35,47.95,2027883.07928573,1398164.77606765,1220889.58415217,692682.902636176,484200.458515342
"38",-130.25,47.95,2023295.65382189,1394193.2880738,1216992.11998377,687412.306496463,476883.449370943
"39",-130.15,47.95,2018732.52988418,1390258.36529671,1213136.02160287,682189.565351686,469573.239974589
"40",-130.05,47.95,2014193.87867837,1386360.32465777,1209321.69029586,677015.794983144,462270.165311365
"41",-129.95,47.95,2009679.87201954,1382499.48364905,1205549.52803549,671892.134851142,454974.581341535
"42",-129.85,47.95,2005190.68231797,1378676.16025609,1201819.93735143,666819.748166895,447686.866653184
"43",-129.75,47.95,2000726.48256453,1374890.6728784,1198133.32119672,661799.821920738,440407.424270329
"44",-129.65,47.95,1996287.44631568,1371143.34024784,1194490.08281006,656833.566862811,433136.683633474
"45",-129.55,47.95,1991873.74767798,1367434.48134457,1190890.62557412,651922.217432091,425875.102771604
"46",-129.45,47.95,1987485.56129213,1363764.41531095,1187335.35286965,647067.031629564,418623.170686992
"47",-129.35,47.95,1983123.06231653,1360133.46136311,1183824.66792562,642269.290831163,411381.409976929
"48",-129.25,47.95,1978786.42641041,1356541.93870026,1180358.97366535,637530.299535895,404150.379719467
"49",-129.15,47.95,1974475.82971645,1352990.16641185,1176938.6725486,632851.385044574,396930.678653843
"50",-129.05,47.95,1970191.44884292,1349478.46338255,1173564.16640975,628233.89706436,389722.948690183
"51",-128.95,47.95,1965933.46084529,1346007.14819497,1170235.85629219,623679.207234281,382527.878787628
"52",-128.85,47.95,1961702.0432075,1342576.53903028,1166954.14227873,619188.708566857,375346.209245273
"53",-128.75,47.95,1957497.3738225,1339186.9535667,1163719.42331846,614763.814800891,368178.736456182
"54",-128.65,47.95,1953319.63097254,1335838.70887588,1160532.09704983,610405.959660548,361026.318181638
"55",-128.55,47.95,1949168.99330876,1332532.12131718,1157392.5596202,606116.596015845,353889.879410499
"56",-128.45,47.95,1945045.63983041,1329267.50642999,1154301.205502,601897.19493983,346770.418877546
"57",-128.35,47.95,1940949.7498635,1326045.17882401,1151258.42730541,597749.244657778,339669.016324903
"58",-128.25,47.95,1936881.50303892,1322865.45206759,1148264.61558797,593674.24938406,332586.840602366
"59",-128.15,47.95,1932841.07927017,1319728.63857419,1145320.15866098,589673.728042469,325525.158715974
"60",-128.05,47.95,1928828.65873038,1316635.04948701,1142425.44239296,585749.212866198,318485.345949521
"61",-127.95,47.95,1924844.42182903,1313584.99456183,1139580.85001043,581902.247874007,311468.897201412
"62",-127.85,47.95,1920888.54918799,1310578.78204807,1136786.76189587,578134.387219592,304477.439699366
"63",-127.75,47.95,1916961.22161714,1307616.71856834,1134043.55538334,574447.1934117,297512.747278524
"64",-127.65,47.95,1913062.62008943,1304699.10899625,1131351.60455179,570842.23540314,290576.756434588
"65",-127.55,47.95,1909192.92571542,1301826.2563328,1128711.28001629,567321.086547549,283671.584393249
"66",-127.45,47.95,1905352.31971734,1298998.46158133,1126122.94871728,563885.322423524,276799.549470461
"67",-127.35,47.95,1901540.9834026,1296216.0236211,1123586.97370829,560536.51852661,269963.194035346
"68",-127.25,47.95,1897759.0981368,1293479.23907965,1121103.71394209,557276.247830538,263165.31042882
"69",-127.15,47.95,1894006.84531621,1290788.40220396,1118673.52405566,554106.078220162,256408.970236034
"70",-127.05,47.95,1890284.40633975,1288143.80473057,1116296.75415419,551027.569799572,249697.557359194
"71",-126.95,47.95,1886591.96258047,1285545.7357547,1113973.74959429,548042.272080094,243034.805387857
"72",-126.85,47.95,1882929.69535649,1282994.48159854,1111704.85076679,545151.721053997,236424.839814716
"73",-126.75,47.95,1879297.78590147,1280490.32567877,1109490.39287929,542357.436161103,229872.225692909
"74",-126.65,47.95,1875696.41533456,1278033.54837347,1107330.70573879,539660.917156715,223382.021371071
"75",-126.55,47.95,1872125.7646298,1275624.42688844,1105226.11353464,537063.640890633,216959.838967372
"76",-126.45,47.95,1868586.01458516,1273263.23512318,1103176.93462215,534567.058008397,210611.912242536
"77",-126.35,47.95,1865077.34579094,1270950.24353659,1101183.48130713,532172.589587178,204345.172488679
"78",-126.25,47.95,1861599.93859779,1268685.71901247,1099246.05963162,529881.623720092,198167.332943506
